2025-07-30 02:11:42 status installed libc6:amd64 2.39-0ubuntu8
2025-07-30 02:11:42 configure libmd0:amd64 1.1.0-2build1 <none>
2025-07-30 02:11:42 status unpacked libmd0:amd64 1.1.0-2build1
2025-07-30 02:11:42 status half-configured libmd0:amd64 1.1.0-2build1
2025-07-30 02:11:42 status installed libmd0:amd64 1.1.0-2build1
2025-07-30 02:11:42 configure libattr1:amd64 1:2.5.2-1build1 <none>
2025-07-30 02:11:42 status unpacked libattr1:amd64 1:2.5.2-1build1
2025-07-30 02:11:42 status half-configured libattr1:amd64 1:2.5.2-1build1
2025-07-30 02:11:42 status installed libattr1:amd64 1:2.5.2-1build1
2025-07-30 02:11:42 configure sysvinit-utils:amd64 3.08-6ubuntu3 <none>
2025-07-30 02:11:42 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2025-07-30 02:11:42 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2025-07-30 02:11:42 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2025-07-30 02:11:42 configure libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4 <none>
2025-07-30 02:11:42 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:42 status half-configured libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:42 status installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2025-07-30 02:11:42 configure debianutils:amd64 5.17build1 <none>
2025-07-30 02:11:42 status unpacked debianutils:amd64 5.17build1
2025-07-30 02:11:42 status half-configured debianutils:amd64 5.17build1
2025-07-30 02:11:42 status installed debianutils:amd64 5.17build1
2025-07-30 02:11:42 configure mawk:amd64 1.3.4.20240123-1build1 <none>
2025-07-30 02:11:42 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:42 status half-configured mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:42 status installed mawk:amd64 1.3.4.20240123-1build1
2025-07-30 02:11:42 configure libdebconfclient0:amd64 0.271ubuntu3 <none>
2025-07-30 02:11:42 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2025-07-30 02:11:42 status half-configured libdebconfclient0:amd64 0.271ubuntu3
2025-07-30 02:11:42 status installed libdebconfclient0:amd64 0.271ubuntu3
2025-07-30 02:11:42 configure libbz2-1.0:amd64 1.0.8-5.1 <none>
2025-07-30 02:11:42 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2025-07-30 02:11:42 status half-configured libbz2-1.0:amd64 1.0.8-5.1
2025-07-30 02:11:42 status installed libbz2-1.0:amd64 1.0.8-5.1
2025-07-30 02:11:42 configure libblkid1:amd64 2.39.3-9ubuntu6 <none>
2025-07-30 02:11:42 status unpacked libblkid1:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:42 status half-configured libblkid1:amd64 2.39.3-9ubuntu6
2025-07-30 02:11:42 status installed libblkid1:amd64 2.39.3-9ubuntu6
